产品信息,设备类型,CPE信息
Huawei Quidway S8505 switch telnetd,switch,cpe:/h:huawei:quidway_s8505
Huawei Quidway s8500 switch telnetd,switch,cpe:/h:huawei:quidway_s8500
Huawei STC router telnetd,broadband router,
Huawei switch telnetd,switch,
Huawei telnetd,,
Hughes HN7000S Satellite Modem telnetd,router,
Hummingbird windows telnetd,,cpe:/o:microsoft:windows
IBM 2218 Link Level Converter telnetd,specialized,
IBM BladeCenter 4-Port Gb switch telnetd,switch,
IBM BladeCenter Advanced Management Module telnetd,remote management,cpe:/h:ibm:advanced_management_module
IBM Infoprint $1 printer,,cpe:/h:ibm:infoprint_$1
IBM Integrated Management Module telnetd,remote management,cpe:/h:ibm:integrated_management_module
IBM Netcool/Impact telnetd,,cpe:/a:ibm:tivoli_netcool%2fimpact
IBM OS/400 telnetd,,cpe:/o:ibm:os_400
IBM switch telnetd,,
ICOM $1 amateur radio telnetd,,
INJES fingerprint scanner telnetd,,cpe:/o:linux:linux_kernel:$2
IPSentry telnetd,,cpe:/o:microsoft:windows
IQinVision $1 telnetd,webcam,
IQinVision IQeye3 telnetd,webcam,
IRIX telnetd,,cpe:/o:sgi:irix
ISOS telnetd,,
ITW MiniGoose XP II environmental monitor telnetd,,
ITW WeatherGoose II environmental monitor telnetd,,
Imagistics $1 printer telnetd,printer,
Infortrend EonStor DS iSCSI host telnetd,storage-misc,cpe:/h:infortrend:esds_$1
Ingenic Linux telnetd,,cpe:/o:linux:linux_kernel:$1
Innbox Home Gateway firewall telnetd,firewall,
Intel 460T Standalone switch telnetd,switch,
Intel NetportExpress print server telnetd,print server,
Intel telnetd,,
InterNiche telnetd,,cpe:/o:micrium:uc%2fos-iii
InterSystems CTELNETD,,
InterSystems Cache database console,,
InterSystems Cache ftpd,,cpe:/o:microsoft:windows
InterTel IPRC VoIP management card telnetd,PBX,
Intermec $1 printer telnetd,printer,cpe:/h:intermec:$1
Intermec 540+/542+ print server telnetd,print server,
Interpeak AB embedded security device telnetd,security-misc,
Iskraemeco P2CC smart electrical meter readout telnetd,power-misc,cpe:/h:iskraemeco:p2cc
Iskratel $1 router telnetd,router,cpe:/h:iskratel:$1
Jacarta interSeptor environmental monitor telnetd,specialized,
Java Object Oriented Telnet Talker,,
Jordan Stojanovski Windows telnetd,,cpe:/o:microsoft:windows
Jungo OpenRG telnetd,WAP,cpe:/h:linksys:rv082 | cpe:/o:linux:linux_kernel:2.4
Jungo OpenRG telnetd,WAP,cpe:/o:linux:linux_kernel
Juniper Mobility System Software telnetd,,cpe:/a:juniper:mobility_system_software
KIRK Wireless Server 600 telnetd,VoIP adapter,
Kaba Benzing timeclock telnetd,,
Konica Minolta $1 printer http config,printer,cpe:/h:konicaminolta:$1
Konica Minolta Magicolor 2300 DL printer telnetd,printer,
Konica Minolta printer telnetd,printer,
Koukaam NETIO-230A power controller telnetd,power-device,cpe:/h:koukaam:netio-230a
KpyM Telnet/SSH Server telnetd,,cpe:/a:kpym:kpym_telnet_ssh_server
KpyM telnetd,,cpe:/o:microsoft:windows
Kyocera $1 printer telnetd,printer,cpe:/h:kyocera:$1
Kyocera IB-21E printer telnetd,printer,cpe:/h:kyocera:ib-21e
Kyocera IB-21E telnetd,print server,cpe:/h:kyocera:ib-21e
Kyocera KM-2550 printer telnetd,printer,cpe:/h:kyocera:km-2550
Kyocera NS-30G printer telnetd,printer,cpe:/h:kyocera:ns-30g
LANCOM L-54g Wireless router telnetd,router,
LEDY Network ITS 2 telnet configuration utility,specialized,cpe:/h:gorgy-timing:ledi_network_its_2
LG Aria LDK-300 PBX telnetd,PBX,
LTIB Embedded Linux Environment telnetd,,cpe:/a:stuart_hughes:ltib | cpe:/h:freescale:p2020ds | cpe:/o:linux:linux_kernel
Lancom $1 DSL/ISDN router telnetd,router,
Lancom $1 VPN router telnetd,router,cpe:/h:lancom:$1
Lanier printer maintenance telnetd,printer,
Lantronix $1 Ethernet-to-serial telnetd,specialized,
Lantronix $1 Secure Console Server telnetd,terminal server,
Lantronix ETS16 terminal server telnetd,terminal server,
Lantronix Evolution OS telnetd,,
Lantronix LPS1 telnetd,print server,cpe:/h:lantronix:lps1
Lantronix MSS1 Micro Serial Server serial-to-Ethernet bridge telnetd,bridge,
Lantronix MSS100 serial interface telnetd,specialized,
Lantronix Micro100 telnetd,,cpe:/h:lantronix:micro100
Lantronix UDS10 Ethernet-to-serial telnetd,specialized,
Lantronix Universal Device Server telnetd,,
Lantronix XPort telnetd,,
Larus 54580 NTP clock telnetd,,
Lexmark $1 printer telnetd,printer,cpe:/h:lexmark:$1
Lexmark C500 printer telnetd,printer,cpe:/h:lexmark:c500
Lexmark Optra LaserPrinter telnetd,printer,
Lexmark W810 telnetd,printer,cpe:/h:lexmark:w810
Lingo VoIP config telnetd,VoIP adapter,
Linkstar Comsat router telnetd,router,
Linksys SRW2024 switch telnetd,switch,cpe:/h:linksys:srw2024 | cpe:/o:linksys:srw2024
Linksys WRT54G telnetd,WAP,cpe:/h:linksys:wrt54g
Linksys WRT54G with wifi-box.net firmware telnetd,,
Linux telnetd,,cpe:/o:linux:linux_kernel
LinuxNode telnetd,,cpe:/o:linux:linux_kernel
Livingston Portmaster telnetd,telecom-misc,
Lotus Domino Console,,cpe:/a:ibm:lotus_domino
Lutron HomeWorks telnetd,,
Lutron RadioRA 2 home control system telnetd,,
MCT-2114 switch telnetd,switch,
MGE UPS telnetd,power-device,
MLDonkey multi-network P2P admin port,,
MLDonkey telnetd,,
MMC MW-3000AP telnetd,WAP,
MP370 PDA Pocket CMD telnetd,PDA,
MPR-L8 3G mobile router telnetd,WAP,
MagicUnix telnetd,,
Maipu Router,router,
Mango DSP AVS Raven-M video server telnetd,media device,
Marconi ES-1000,,
Marss IP Controller telnetd,remote management,
McAfee firewall telnetd,,
McData switch telnetd,switch,
Mega System Technologies NetProbe Lite environmental sensor telnetd,specialized,
MegaTec NetAgent UPS monitor telnetd,,
Merit Internet Routing Registry telnet config,,
MiamiDx telnetd,,
MicroDigital MDR-4600 DVR telnetd,media device,
Micronetics Standard MUMPS,,
Microsemi PowerDsine telnetd,power-device,
Microsoft Telnet Service telnetd,,
Microsoft Windows $1telnetd,,cpe:/o:microsoft:windows
Microsoft Windows 2000 telnetd,,cpe:/o:microsoft:windows_2000
Microsoft Windows IoT Core telnetd,,cpe:/o:microsoft:windows_10:::iot
Microsoft Windows XP telnetd,,cpe:/o:microsoft:windows_xp
Milan MIL-$2 switch telnetd,switch,cpe:/h:milan:mil-$2
Minecraft RemoteShell,,
Minitar MVA11A VoIP gateway telnetd,VoIP adapter,cpe:/h:minitar:mva11a
Minix telnetd,,cpe:/a:minix:telnetd:$1 | cpe:/o:minix:minix
Minolta PagePro 20 printer telnetd,printer,cpe:/h:minolta:pagepro_20
Mitel 3300 PBX controller ftpd,PBX,
Mitel SX-2000 PBX telnetd,PBX,
Mitsubishi Electric XD1000 ProjectorView telnetd,media device,
Mordor MUD telnetd,,
Motorola $1 WAP telnetd,,cpe:/h:motorola:$1
Motorola Canopy Subscriber Module telnetd,,
Motorola Canopy WAP telnetd,telecom-misc,
Motorola Canopy cluster management module telnetd,,cpe:/o:ecos:ecos
Motorola VT1000v VOIP Adapter telnetd,VoIP adapter,cpe:/h:motorola:vt1000v
Motorola Vanguard router telnetd,router,
Moxa $1 serial-to-IP converter telnetd,,cpe:/h:moxa:$1
Moxa $1 telnetd,,"cpe:/h:moxa:$1 | cpe:/o:moxa:$SUBST(1,""-"",""_"")_firmware:$5"
Moxa Serial to Ethernet telnetd,,
MultiNet OpenVMS telnetd,,cpe:/o:hp:openvms
MultiTech MultiVoIP telnetd,VoIP adapter,
Multicom voip telnetd,VoIP adapter,
Mystic BBS telnetd,,cpe:/a:james_coyle:mystic_bbs:$1
NASLite-SMB/Sveasoft Alchemy firmware telnetd,,
NCD Thinster terminal command shell,terminal,
NEC SL-series debug terminal,VoIP phone,
NENET AB ethernet telnet config,,
NG VoIP Phone 2 telnetd,VoIP phone,
NPI Keystone switch telnetd,switch,
NRG maintenance telnetd,printer,
Napco NetLink NL-MOD alarm system telnetd,security-misc,
Neptune Systems AquaController aquarium monitor telnetd,specialized,
Net Tamagotchi telnetd,,
Net to Net SIA2410R DSL router telnetd,router,
NetComm ADSL router telnetd,broadband router,
NetComm ADSL2+ WAP telnetd,WAP,
NetIron CER $1 switch telnetd,switch,
Netal SLANT viewer,,
Netapp ONTAP telnetd,,cpe:/a:netapp:data_ontap
Netcomm V300 VoIP adapter telnetd,VoIP adapter,cpe:/h:netcomm:v300
Netgear $1 WAP telnetd,WAP,cpe:/h:netgear:$1
Netgear $1 firewall,firewall,cpe:/h:netgear:$1
Netgear $1 router telnetd,router,cpe:/h:netgear:$1
Netgear $2 switch telnetd,switch,cpe:/h:netgear:$2
Netgear DG834GT telnetd,broadband router,cpe:/h:netgear:dg834gt
Netgear DM111 broadband router telnetd,broadband router,cpe:/h:netgear:dm111
Netgear FVS318 router telnetd,router,cpe:/h:netgear:fvs318
Netgear GS108T switch telnetd,switch,cpe:/h:netgear:gs108t
Netgear Netopia $1 router telnetd,router,cpe:/h:netgear:netopia_$1
Netgear WG102 WAP telnetd,WAP,cpe:/h:netgear:wg102
Netgear broadband router or ZyXel VoIP adapter telnetd,,
Netkit telnet-ssl telnetd,,cpe:/a:netkit:telnet-ssl
Netkit-telnetd,,cpe:/a:netkit:netkit | cpe:/o:linux:linux_kernel:$1
Netopia $1 wireless ADSL router telnetd,WAP,cpe:/h:netopia:$1 | cpe:/o:netopia:soc_os:$2
Netopia ADSL router telnetd,broadband router,
Netscreen ScreenOS telnetd,firewall,
Network Systems Group router telnetd,router,
Network Video Streamer telnetd,media device,cpe:/o:linux:linux_kernel:$1
Neuf Box 6 ADSL router telnetd,broadband router,
Neuf Box telnetd,,
NewCS card sharing system telnetd,,
Nexia Home Intelligence Bridge telnetd,,
Nokia D-BOX2 telnetd,media device,cpe:/o:linux:linux_kernel:$1
Nomadix AG $1 telnetd,WAP,cpe:/h:nomadix:ag_$1
Nortel 4548 switch telnetd,switch,cpe:/h:nortel:4548
Nortel 460-24T-PWR switch telnetd,switch,cpe:/h:nortel:460-24t-pwr
Nortel 5510 switch telnetd,switch,cpe:/h:nortel:5510
Nortel 5530 Ethernet Routing Switch telnetd,switch,cpe:/h:nortel:ethernet_routing_switch_5530
Nortel Alteon switch telnetd,switch,
Nortel BayStack 420 switch telnetd,switch,cpe:/h:nortel:baystack_420
Nortel BayStack 470-24T switch telnetd,switch,cpe:/h:nortel:baystack_470-24t
Nortel BayStack 470-48T switch telnetd,switch,cpe:/h:nortel:baystack_470-48t
Nortel Baystack 470-48t switch telnetd,switch,cpe:/h:nortel:baystack_470-48t
Nortel Business Policy Switch 2000 telnetd,switch,
Nortel CVS Access switch telnetd,switch,
Nortel Ethernet Routing Switch 4500-series telnetd,switch,
Nortel Extranet Contivity Secure IP Services telnetd,security-misc,cpe:/h:nortel:contivity
Nortel Gbe switch telnetd,switch,
Nortel Layer 2/3 Gigabit Ethernet switch for IBM BladeCenter,switch,
Nortel Networks Instant Internet broadband router telnetd,broadband router,
Nortel Networks Passport switch telnetd,switch,
Nortel Networks telnetd,switch,
Nortel Passport 8010 router telnetd,router,cpe:/h:nortel:passport_8010
Nortel-LG VoIP IAD telnetd,PBX,
NovaNET-WEB backup server telnetd,,
Nuance ASR TelnetWatcherModule,,
Nut/OS Demo telnetd,,cpe:/o:ethernut:nut_os
Nyancat telnet server,,cpe:/a:kevin_lange:nyancat
ORiNOCO wireless router telnetd,router,
OfficeConnect AP11G WAP telnetd,WAP,
OkiLAN $1 print server telnetd,print server,
Okidata $1 printer telnetd,printer,
Olicom 8601 CrossFire token-ring switch manager telnetd,,
Olicom CrossFire 8720 switch telnetd,switch,
One60L G.SHDSL modem telnetd,broadband router,
OneAccess ONE100A router telnetd,router,cpe:/h:oneaccess:one100a | cpe:/o:oneaccess:oneos
Open EasyChat210 VoIP phone telnetd,VoIP phone,
OpenPLI telnetd,media device,cpe:/o:linux:linux_kernel
OpenRG telnetd,bridge,cpe:/o:linux:linux_kernel
OpenText FirstClass webmail command-line interface,,cpe:/a:opentext:firstclass
OpenVMS 8.3 telnetd,,cpe:/o:hp:openvms
OpenVMS telnetd,,cpe:/o:hp:openvms
OpenVMS telnetd,,cpe:/o:hp:openvms:$1
OpenWrt telnetd,WAP,cpe:/o:linux:linux_kernel
Openwall GNU/*/Linux telnetd,,cpe:/o:linux:linux_kernel
Optibase MGW5100 TV streaming device telnetd,media device,cpe:/o:windriver:vxworks
Opticom DSLink $1 DSL modem telnetd,broadband router,cpe:/h:opticom:dslink_$1
Optimcom DSLink 260E ADSL router telnetd,,
Orinoco AP-$1 telnetd,router,
Orinoco WAP telnetd,,
Ovislink AirLive WAP telnetd,WAP,
Ovislink WLA-9000AP WAP telnetd,WAP,
PC Telnetd,,cpe:/o:microsoft:windows
PDP-10 simulator telnetd,,
POSTEF $1 ADSL router telnetd,broadband router,
PRICOM 3100 print server telnetd,print server,
PXES Linux Thin Client telnetd,terminal,cpe:/o:linux:linux_kernel
PacketFront telnetd,switch,
Patton SmartNode 4638 VoIP adapter telnetd,VoIP adapter,cpe:/h:patton:sn4638 | cpe:/o:patton:smartware
Philips D-BOX2 telnetd,media device,cpe:/o:linux:linux_kernel:$1
Philips DECT D&T Agent telnetd,,
Philips Strand Light Palette telnetd,media device,
Picotux telnetd,specialized,cpe:/o:linux:linux_kernel
Pioneer VSX-2020 video receiver telnetd,media device,
Pirelli Age UB router telnetd,router,
Pirelli NetGate VOIP v2 broadband router telnetd,broadband router,cpe:/h:pirelli:netgate_voip_v2
Pirelli VDSL router or ZyXEL Keenetic Omni telnetd,broadband router,
Planet IP phone telnetd,VoIP phone,
Pocket CMD telnetd,,
PointRed Technologies telnetd,,
Pollin AVR-NET-IO Ethernet module telnetd,,
Polycom Command Shell telnetd,VoIP phone,
Polycom ViewStation Video Conferencing telnetd,webcam,
Polycom ViewStation video conferencing telnetd,,
Polycom VoIP phone debug telnetd,VoIP phone,
Polycom videoconferencing system diagnostic shell,VoIP phone,
PostX IP Receiver telnetd,,
Precidia serial2ethernet gateway telnetd,,
Precise RTCS telnetd,remote management,cpe:/o:precise:mqx:$1
Precise RTCS telnetd,,cpe:/h:emersonnetworkpower:liebert_nxc | cpe:/o:precise:mqx:$1
Precise RTCS telnetd,,cpe:/h:harris:flexstar_hdx-fm | cpe:/o:precise:mqx:$1
Precise RTCS telnetd,,cpe:/o:precise:mqx:$1
Procurve Secure Router telnetd,router,
Proxim Tsunami telnetd,bridge,
QEMU monitor telnetd,,cpe:/a:qemu:qemu:$1
Qualisys Oqus 300 camera telnetd,webcam,
QualityView IPcam telnetd,webcam,
Quatech Airborne CLI server,bridge,
Quintum Tenor $3 VoIP gateway alarm telnetd,,cpe:/h:quintum:tenor_$3
Quintum Tenor $3 VoIP gateway call event telnetd,,cpe:/h:quintum:tenor_$3
Quintum Tenor A800 VoIP gateway CDR telnetd,,cpe:/h:quintum:tenor_a800
RADLINX PASSaPORT CS terminal server telnetd,terminal server,
ROM-based MUD,,
ROTAL RTA1025W WAP telnetd,WAP,
RTOS-UH telnetd,,cpe:/o:universitathanover:rtos-uh
Rappelz game admin telnetd,,
Rappelz game server admin telnetd,,
Rapture-based MUD telnetd,,
Raritan $1 KVM switch telnetd,,
ReactOS telnetd,,
Redline $1 WAP telnetd,WAP,cpe:/h:redline:$1
Redline Communications AN-30 wireless bridge telnetd,WAP,
Reincarna/Linux.Wifatch virus,,
RemoteX telnetd,game console,
RemotelyAnywhere telnetd,,cpe:/o:microsoft:windows
RemotelyAnywhere telnetd,,cpe:/o:microsoft:windows_nt:$1:sp$2
Ricoh Aficio printer telnetd,printer,
Ricoh maintenance telnetd,print server,
Ricoh maintenance telnetd,printer,
Rocket UniData RDBMS telnetd,,
Roku 2 XDS media player telnetd,media device,
Roku SoundBridge telnetd,media device,
Roku debug terminal,media device,
Roku media player telnetd,media device,
Ruijie RGOS telnetd,,cpe:/a:ruijie:telnet | cpe:/o:ruijie:rgos
SAP J2EE engine telnetd,,cpe:/a:sap:j2ee_engine
SAVIN printer telnetd,printer,
SB5100MoD telnetd,WAP,cpe:/h:motorola:sb5100
SEH Computertechnik printer telnetd,printer,
SMAUG MUD server,,
SMC DSL modem telnetd,router,
SMC SMC2870W Wireless Ethernet Bridge,bridge,
SMC8013WG cable modem/WAP telnetd,WAP,
SMPlayer telnetd,,
STMicroelectronics Base Distribution telnetd,,cpe:/o:linux:linux_kernel:$2
Sagem D-BOX2 Sportster Pro telnetd,media device,cpe:/o:linux:linux_kernel
Sagem D-BOX2 telnetd,media device,cpe:/o:linux:linux_kernel
Sagem F@st $1 ADSL router telnetd,broadband router,
Sagem router telnetd,router,
Samsung $1 WAP telnetd,WAP,cpe:/h:samsung:$1
Samsung CLP-315W telnetd,printer,cpe:/h:samsung:clp-315w
Samsung PBX telnetd,PBX,
Samsung SWL-6100AP telnetd,WAP,cpe:/h:samsung:swl-6100ap
Samsung Ubigate router telnetd,router,
Samsung Wireless Audio Multiroom hub telnetd,media device,
Samsung printer telnetd,printer,
Sanyo VCC-HD2300 webcam telnetd,webcam,cpe:/h:sanyo:vcc-hd2300
Scarlet One telnetd,VoIP adapter,
Schneider Automation $1 Modbus-to-Ethernet bridge telnetd,bridge,
Secure Defrag Service telnetd,,
Sharp $1 printer telnetd,printer,cpe:/h:sharp:$1
Sharp $1 printer telnetd,,cpe:/h:sharp:$1
Shiva LanRover telnetd,,
ShoreTel VoIP appliance telnetd,VoIP adapter,
ShroudBNC telnet config,,
Sicunet access control system telnetd,security-misc,
Siemens $1 ADSL router telnetd,broadband router,cpe:/h:siemens:$2
Siemens $1 T1E1 router,router,
Siemens $1 VoIP gateway telnetd,,cpe:/h:siemens:$1
Siemens $1 remote management telnetd,remote management,
Siemens 5940 T1E1 router telnetd,router,cpe:/h:siemens:5940_t1e1
Siemens ADSL SL-2141 IS telnetd,broadband router,
Siemens ADSL SL2-141-I HSN2 ADSL telnetd,broadband router,
Siemens C2-010-I ADSL router telnetd,broadband router,cpe:/h:siemens:c2-010-i
Siemens HiPath $1 telnetd,firewall,cpe:/h:siemens:hipath_$1
Siemens HiPath PBX telnetd,PBX,
Siemens I-Gate LAN 2 telnetd,router,
Siemens SANTIS WAP telnetd,WAP,
Slirp PPP/SLIP-on-terminal emulator telnetd,,
SmartThings hub telnetd,,cpe:/h:smartthings:hub
Softbank Trio 1 WAP telnetd,WAP,
Sony PCS-$1 telnetd,media device,
Soyo G668 VoIP phone telnetd,VoIP phone,
Soyo SIP VoIP phone telnetd,VoIP phone,
SpeedStream $1,,
SpeedStream 5660 router telnetd,router,
SpeedStream router telnetd,router,
Star Micronics $1 printer ftpd,printer,cpe:/h:starmicronics:$1
Star Micronics $1 printer telnetd,printer,cpe:/h:starmicronics:$1
StoneGate firewall telnetd,firewall,
StorageTek tape drive telnetd,storage-misc,
Stratus ftServer VTM telnetd,remote management,
Sun Advanced Lights Out Manager telnetd,remote management,cpe:/a:sun:advanced_lights_out_manager:$1 | cpe:/o:sun:sunos
Sun Advanced Lights Out Manager,remote management,cpe:/a:sun:advanced_lights_out_manager:$1
Sun Remote System Control telnetd,remote management,
Sun Solaris telnetd,,cpe:/o:sun:sunos
Sun StorEdge 3511 telnetd,storage-misc,
Sun X4100 telnetd,terminal server,
SunOS telnetd,,cpe:/o:sun:sunos
SunSwitch telnetd,switch,
Supermicro switch telnetd,switch,
Swann DVR telnetd,,
Syabas Popcorn Hour media player telnetd,media device,cpe:/h:syabas:popcorn_hour
Symantec Raptor Firewall Secure Gateway telnetd,,cpe:/a:symantec:raptor_firewall
Symantec Raptor firewall secure gateway telnetd,,cpe:/a:symantec:raptor_firewall
Symbol CB-1000 bridge telnetd,bridge,cpe:/h:symbol:cb-1000
Symbol WAP telnetd,WAP,
Synchronet BBS,,cpe:/a:rob_swindell:synchronet:$1 | cpe:/o:microsoft:windows
Synchronet BBS,,cpe:/a:rob_swindell:synchronet:$2
Synology DiskStation 1512+ NAS telnetd,storage-misc,
T-Mail Fidonet BBS telnetd,,cpe:/o:microsoft:windows
TP-LINK $1 WAP telnetd,WAP,cpe:/h:tp-link:$1
TP-LINK TD-W8920G WAP http config,WAP,cpe:/h:tp-link:td-w8920g
TP-LINK TL-SG2008 telnetd,switch,cpe:/h:tp-link:tl-sg2008
TP-LINK switch telnetd,switch,
TRENDnet $2 print server telnetd,print server,cpe:/h:trendnet:$2
TRENDnet TE4100-PS1U telnetd,print server,cpe:/h:trendnet:te4100-ps1u
Tandberg MPS 800 telnetd,media device,
Tandberg MXP Video Conference appliance telnetd,media device,
Tandberg T150 Personal VoIP phone telnetd,VoIP phone,
Tandem Himalaya K2000 telnetd,,cpe:/o:tandem:guardian
Tasman Networks router telnetd,router,
Technicolor TG582n WAP telnetd,WAP,cpe:/h:technicolor:tg582n
TelSrc telnetd,,cpe:/o:microsoft:windows
Teldat CIT telnetd,router,
TeleWell $1 telnetd,WAP,
Telebit NetBlazer,,
Telindus router telnetd,router,
Telos Omnia-6EX audio processor telnetd,media device,
Tenor telnetd,,
Teracom router telnetd,broadband router,
Terraria Dedicated Server Mod telnetd,,
Texas Instruments DVR_NETRA embedded telnetd,,
Thomson $1 ADSL router telnetd,broadband router,cpe:/h:thomson:$1
Thomson VoIP phone telnetd,VoIP phone,
TiVo telnetd,media device,
Tiara telnetd,router,
TigerLogic D3 Database telnetd,,
Toshiba print server telnetd,print server,
Trango $1 WAP telnetd,WAP,cpe:/h:trango:$1
Trapeze WX2200 WAP telnetd,WAP,
Tripp Lite PowerAlert telnetd,,cpe:/a:tripp_lite:poweralert:$1
Tru64 UNIX gated,,cpe:/o:compaq:tru64
TrueTime GPS clock telnetd,,
USR5450 access point telnetd,router,
USRobotics ADSL router telnetd,broadband router,
USRobotics TotalControl NetServer 8/16 telnetd,,
USRobotics Wireless MAXg ADSL router telnetd,WAP,
USRobotics/Sagem router telnetd,router,
UTT Hiper 2610 router telnetd,router,cpe:/h:utt:hiper_2610
Ultrix telnetd,,cpe:/o:dec:ultrix:$1:$2
VBrick 4300 video encoder telnetd,media device,
VG112-D51 VoIP CPE telnetd,VoIP adapter,
VLC Player telnetd,,cpe:/a:videolan:vlc_media_player
VLC media player telnetd,,cpe:/a:videolan:vlc_media_player
VLC media player telnetd,,cpe:/a:videolan:vlc_media_player:$1
VSCOM NetCom 113 terminal server telnetd,terminal server,cpe:/h:vscom:netcom_113
VSX $2 telnetd,telecom-misc,
VTrak 15100 telnetd,storage-misc,
VU+ Solo2 set-top box telnetd,media device,
Verilink NetEngine IAD $1 telnetd,VoIP adapter,
Versatek VersaXpress HPNA Routing Concentrator telnetd,,
Vertical Xcelerator IP telnetd,VoIP adapter,
VideoLAN Server telnetd,media device,
Viking router telnetd,router,
Vina Technologies $1 telnetd,,
Vivotek 3102 Camera telnetd,webcam,
Volktek router telnetd,router,
Vu+ Black Hole telnetd,media device,cpe:/h:vuplus:$2
VxWorks telnetd,,cpe:/o:windriver:vxworks
VyOS telnetd,router,
Vyatta router telnetd,router,cpe:/a:brocade:vyatta_vrouter_software | cpe:/o:linux:linux_kernel
WANFleX telnetd,,cpe:/a:infinet:wanflex
WPI Network Power Switch (remote reboot) telnetd,remote management,
WTI Network Power Switch telnetd,power-device,
WebCTRL diagnostic telnetd,,cpe:/a:automatedlogic:webctrl
WebRamp 410i ISDN router telnetd,router,
WebSphere DataStage telnetd,,cpe:/a:ibm:infosphere_datastage
WebStar DPX 2203 cable modem telnetd,broadband router,
Welltech Wellgate VoIP adapter telnetd,VoIP adapter,
WhatRoute telnetd,,cpe:/o:apple:mac_os
Windows CE telnetd,,cpe:/o:microsoft:windows_ce
Windows NT 4.0 telnetd,,cpe:/o:microsoft:windows_nt:4.0
Windows for Workgroups telnetd,,cpe:/o:microsoft:windows
WxGoos-$1 Climate Monitor telnetd,specialized,
X-Digital Systems satellite receiver command processor,media device,
XBlue X50 telnetd,VoIP phone,
XIXUN LedCard LED sign control card telnetd,specialized,cpe:/o:linux:linux_kernel:$1
Xerox Phaser 4400DX printer,printer,cpe:/h:xerox:phaser_4400dx
Xterasys 2U1P print server telnetd,print server,
Xylan PizzaSwitch telnetd,switch,
ZEM200 biometric device config telnetd,specialized,cpe:/o:linux:linux_kernel:$1
ZKSoftware $1 access control device,security-misc,cpe:/h:zksoftware:$1 | cpe:/o:linux:linux_kernel:$2
ZKSoftware ZEM300 embedded Linux telnetd,,cpe:/o:linux:linux_kernel
ZKSoftware ZEM500 fingerprint reader telnetd,security-misc,cpe:/o:linux:linux_kernel:$1
ZTE $1 router telnetd,broadband router,cpe:/h:zte:$1
ZTE $1 router telnetd,router,cpe:/h:zte:$1
ZTE ZXDSL $1 telnetd,broadband router,cpe:/h:zte:zxdsl_$1
ZTE router telnetd,broadband router,
ZTE switch telnetd,switch,cpe:/h:zte:$1
Zebra print server telnetd,print server,
Zelax router telnetd,router,
Zhone zNID GPON $1 router telnetd,router,cpe:/h:zhone:znid_gpon_$1
Zmodo DVR admin telnetd,webcam,
Zoom ADSL modem telnetd,broadband router,
Zoom X6 ADSL router telnetd,broadband router,cpe:/h:zoom:x6
ZyXEL $1 ADSL modem telnetd,broadband router,cpe:/h:zyxel:$1
ZyXEL $1 broadband router telnetd,broadband router,cpe:/h:zyxel:$1
ZyXEL $1 telnetd,broadband router,cpe:/h:zyxel:$1
ZyXEL $2 dimension switch telnetd,switch,
ZyXEL $2 telnetd,,cpe:/h:zyxel:$2
ZyXEL DSL modem telnetd,broadband router,cpe:/h:zyxel:$1
ZyXEL G-570S WAP telnetd,WAP,cpe:/h:zyxel:g-570s
ZyXEL Prestige $1 ADSL modem telnetd,broadband router,cpe:/h:zyxel:prestige_$1
ZyXEL Prestige cable modem telnetd,broadband router,
ZyXEL Prestige/Efficient Speedstream adsl router telnetd,router,
ZyXEL VDSL router telnetd,broadband router,
ZyXEL ZXDSL $1 ADSL modem telnetd,broadband router,cpe:/h:zyxel:zxdsl_$1
ZyXEL ZyWALL USG 200 firewall telnetd,firewall,cpe:/h:zyxel:zywall_usg_200
bintec $1 ADSL router telnetd,,cpe:/h:bintec:$1
dfterm2 telnetd for Dwarf Fortress game,,
easyRAID $1 telnetd,storage-misc,
foobar2000 remote control telnetd,,cpe:/o:microsoft:windows
freeSSHd telnetd,,cpe:/a:freesshd:freesshd | cpe:/o:microsoft:windows
jBASE telnetd,,
mythfrontend MythTV control,media device,
packet-o-matic telnetd,,
pennmush MUD server,,cpe:/a:pennmush:pennmush
pennmush MUD server,,cpe:/a:pennmush:pennmush:$1
security DVR telnetd,,
ser2net telnetd,,
ser2net telnetd,,cpe:/o:debian:debian_linux | cpe:/o:linux:linux_kernel
slush telnetd,,cpe:/o:systronix:tinios
stchat telnetd,,
sysrqd,,
tcpwrapped telnetd,,
telnet,,
utelnetd,WAP,
utelnetd,media device,cpe:/o:linux:linux_kernel
utelnetd,,
yersinia telnetd,,
,switch,cpe:/o:cisco:ios
,,
Teradata database,,
Terraria Dedicated Server Mod,,
,,
Alibaba Dubbo remoting telnetd,,cpe:/a:alibaba:dubbo
CMI Genus timekeeper $1 setup,,
CipherLab Ethernet Cradle command shell,specialized,
HP LaserJet telnet_debug,printer,
Huawei UGW,,
Nomad Digital Charger command interface,,cpe:/a:nomad_digital:charger
Polycom videoconferencing system control port,,cpe:/h:polycom:$2
Satel INT-TSI keypad telnetd,security-misc,
Talk2M VPN service management,,cpe:/a:ewon:talk2m
TeamSpeak 3 ClientQuery,,cpe:/a:teamspeak:teamspeak3
TeamSpeak 3 ServerQuery,,cpe:/a:teamspeak:teamspeak3
Vantage InFusion home automation controller port,,
Vizio television textui,media device,
