产品信息,设备类型,CPE信息
BitKeeper distributed VCS,,cpe:/a:bitmover:bitkeeper:$2
Bitkeeper,,
BitTornado tracker httpd,,
MLDonkey P2P client http config,,
MLDonkey multi-network P2P client,,
Transmission bittorrent tracker,,cpe:/a:transmissionbt:transmission
BitTorrent UDP tracker,,
opentracker UDP tracker,,cpe:/a:dirk_engling:opentracker
uTorrent uTP,,cpe:/a:utorrent:utorrent | cpe:/o:microsoft:windows
,,
Bittorrent P2P client,,
Transmission Bittorrent client,,cpe:/a:transmissionbt:transmission
Blue Coat Reporter log server,,
BMC Perform Service Daemon,,
BMC Transaction Management Application Response Time,,cpe:/a:bmc:transaction_management_application_response_time:$1
PvPGN BnetD Mod,,
bnetd open source Blizzard Battlenet server,,
bnetd,,
Boinc GUI RPC port,,
Veritas Netbackup,,cpe:/a:symantec:netbackup
Brass Monkey controller service,,
Brio 8 business intelligence tool,,
Brio 8 business intelligence,,
Bro IDS control service,,cpe:/a:bro:bro
Bruker AXS X-ray controller status,specialized,
Tolis BRU Server,,
Tolis BRU,,
BuildForge Agent,,
Xoreax IncrediBuild,,cpe:/o:microsoft:windows
Burk AutoPilot Plus remote management,remote management,
BYOND game platform,,
BZFlag game server,,
Bazaar VCS bzr serve,,
CA Message Queuing Server,,
CA Message Queuing Server,,cpe:/a:ca:messaging
CA Unicenter remote control,,cpe:/a:ca:unicenter_remote_control
CAI-CCI,,
Conductus,,
Conspectus,,
Fundus,,
Pactor,,
Paratus,,
DavMail CalDAV http gateway,proxy server,
Daylite Server Admin,,cpe:/o:apple:mac_os_x
Radicale CalDAV CardDAV,,cpe:/a:kozea:radicale | cpe:/a:python:python:$2 | cpe:/a:python:wsgiref:$1
TwistedWeb httpd,,cpe:/a:twistedmatrix:twisted:$1 | cpe:/a:twistedmatrix:twistedweb:$2
TwistedWeb httpd,,cpe:/a:twistedmatrix:twisted:$2 | cpe:/a:twistedmatrix:twistedweb:$3
TwistedWeb httpd,,cpe:/a:twistedmatrix:twisted:$3 | cpe:/a:twistedmatrix:twistedweb:$4 | cpe:/o:apple:mac_os_x
Zarafa CalDav Gateway,,cpe:/a:zarafa:zarafa
,,
Calibre Sync JSON,,cpe:/a:kovid_goyal:calibre:$1.$2.$3
Calibre Sync JSON,,cpe:/a:kovid_goyal:calibre:$2.$3.$4
Apache Cassandra,,cpe:/a:apache:cassandra
Apache Cassandra,,cpe:/a:apache:cassandra:2.2
Apache Cassandra,,cpe:/a:apache:cassandra:3
Ninja Sphere Chromecast driver,,
CCcam DVR card sharing system information,,
CA Unicenter CCI Remote Daemon,,
,,
freedb cddbp server,,
Ceph distributed filesystem,,
Lantronix chargen,,
Linux chargen,,cpe:/o:linux:linux_kernel
SunOS chargen,,cpe:/o:sun:sunos
Tektronix Phaser chargen,printer,
Windows Vista chargen,,cpe:/o:microsoft:windows_vista
xinetd chargen,,
,,
InfoChat Remote Control,,
AIM or ICQ server,,
Simple Instant Messenger control plugin,,
WebStart Chat Service,,
check_mk extension for Nagios,,
Lasker Internet Chess server,,
ChilliWorx management console,remote management,
Cirrato print server client,,
Cisco CallManager license manager,,cpe:/h:cisco:call_manager:6
Cisco SLA Responder,router,cpe:/o:cisco:ios
Cisco Switch Smart Install,switch,cpe:/o:cisco:ios
Cisco 7200 Simulator,,
Cisco PIX Secure Database Manager,firewall,cpe:/o:cisco:ios
Citadel (UX) messaging server,,cpe:/a:citadel:ux
Citrix Metaframe XP ICA,,cpe:/o:microsoft:windows
Citrix Metaframe XP IMA,,cpe:/o:microsoft:windows
Citrix Licensing Server,,
CityNet SV.3,,
Clam AV,,cpe:/a:clamav:clamav
ClamAV,,
Clementine Music Player remote control,,cpe:/a:clementine:clementine
Clementine music player remote control,,cpe:/a:clementine-player:clementine
Clementine music player remote control,,cpe:/a:clementine-player:clementine:1.2
Clementine music player remote control,,cpe:/a:clementine-player:clementine:1.2.1
ClickHouse DBMS,,cpe:/a:yandex:clickhouse
Cadence IC design daemon,,
Cloudmark cmae_server antispam,,
Microsoft Configuration Manager Remote Control service,,cpe:/a:microsoft:systems_management_server | cpe:/o:microsoft:windows
,,
Cockpit Web Service Socket,,
CrashPlan online backup,,
CodeForge IDE,,
CommVault Galaxy data backup,,
HP LTO Ultrium data port,storage-misc,
Computone IntelliServer serial port terminal server,bridge,
Compuware Distributed License Management,,
Concerto Software EnsemblePro CRM software SendLog Server,,
Concerto Software EnsemblePro CRM software TimeSync Server,,
Forum Communcations conferenced,,
conserver serial console daemon,specialized,
HashiCorp Consul RPC,,cpe:/a:hashicorp:consul
Global Cache GC-100 config,media device,
BMC Control-M/EM server,,cpe:/a:bmc:software_control-m_server
Common Open Policy Service (COPS),,
Couchbase Membase,,
Plan 9 cpu,,cpe:/o:belllabs:plan_9
Crestron Terminal Console,,cpe:/h:crestron
TiVo DVR Crestron control server,media device,
Crestron $1 automation system text ui,specialized,cpe:/h:crestron:$1
Crestron $1 touch screen text ui,media device,cpe:/h:crestron:$1
Crestron CEN-IDOC music player connection text ui,media device,cpe:/h:crestron:cen-iodc
Crestron MC2E automation system text ui,specialized,cpe:/h:crestron:mc2e
Crestron MPS-200 presentation system text ui,media device,cpe:/h:crestron:mps-200
Crestron PRO2 automation system text ui,specialized,cpe:/h:crestron:pro2
Crestron QM-RMC text ui,media device,cpe:/h:crestron:qm-rmc
Crestron automation system text ui,specialized,cpe:/h:crestron
Crestron XSig communication,specialized,cpe:/h:crestron
Crossfire game server,,
Crossfire game server,,cpe:/a:crossfire:crossfire
Cross Match Technologies Verifier fingerprint capture control port,,
Cross Match Verifier E fingerprint advanced control,,
Cross Match Verifier E fingerprint control,,
node-cryptonote-pool CryptoNote miner,,cpe:/a:nodejs:node.js
Columbia University QIL Gateway,,
Alcatel OmniPCX Enterprise,PBX,cpe:/a:alcatel-lucent:omnipcx
csync2,,
CVS pserver,,
CVSNT cvs pserver,,cpe:/a:march-hare:cvsnt
SunOS cvs pserver,,cpe:/o:sun:sunos
cvs pserver,,
CVSup,,
Cyrus sync server,,cpe:/a:cmu:cyrus_imap_server:$2
Dark MultiPlayer Kerbel Space Program mod,,cpe:/a:christopher_andrews:darkmultiplayer
Amarok music player DAAP,,
Apple iTunes DAAP,,cpe:/a:apple:itunes:$1
DAAPsharp DAAP,,
daapd,,
forked-daapd,,
mt-daapd DAAP,,
DameWare Mini Remote Control,,cpe:/o:microsoft:windows
DarkComet RAT,,
MailMax DataMaxDB,,cpe:/o:microsoft:windows
AIX daytime,,cpe:/o:ibm:aix
American Dynamics EDVR security camera daytime,webcam,
Atomic Time Synchonizer daytime,,cpe:/o:microsoft:windows
Cisco router daytime,,cpe:/o:cisco:ios
Greyware Domain Time II daytime,,
HP-UX daytime,,cpe:/o:hp:hp-ux
